Date and Time:                Fri May 23 20:37:11.967 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Accumulate Cycle Time (secs): 0,1
Frequency (Hz):               10
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
897,65332	13
898,18585	12
898,71838	28
899,25092	9
899,78351	21
900,3161	26
900,84875	11
901,38141	13
901,91406	21
902,44678	45
902,97949	17
903,51221	30
904,04498	20
904,57782	16
905,1106	40
905,64349	40
906,17633	30
906,70923	17
907,24213	31
907,77509	59
908,30804	28
908,84106	22
909,37408	41
909,9071	22
910,44019	43
910,97327	14
911,50641	18
912,03949	26
912,57269	23
913,1059	11
913,6391	13
914,1723	39
914,70557	13
915,23883	24
915,77216	31
916,30548	35
916,83887	33
917,37225	19
917,90564	29
918,43909	45
918,97253	21
919,50598	15
920,03949	19
920,57306	29
921,10657	19
921,64014	43
922,17377	27
922,7074	35
923,24103	28
923,77472	46
924,30841	6
924,84216	41
925,37585	20
925,90967	24
926,44342	13
926,97729	27
927,51111	35
928,04498	22
928,57886	42
929,11279	14
929,64673	11
930,18073	36
930,71466	29
931,24872	21
931,78271	29
932,31683	34
932,85089	15
933,38501	21
933,91913	47
934,45331	32
934,98749	21
935,52167	22
936,05591	26
936,59021	24
937,12445	9
937,65875	12
938,19312	22
938,72748	19
939,26184	34
939,79626	40
940,33069	22
940,86511	30
941,3996	38
941,93408	15
942,46863	36
943,00317	25
943,53778	31
944,07239	27
944,60699	34
945,1416	21
945,67633	25
946,211	36
946,74573	37
947,28046	42
947,81525	32
948,35004	41
948,88483	43
949,41968	14
949,95453	46
950,48944	39
951,02435	24
951,55933	33
952,09424	36
952,62927	32
953,16425	26
953,69928	31
954,23438	40
954,76947	27
955,30457	49
955,83972	47
956,37488	19
956,91003	30
957,44525	15
957,98047	36
958,51575	32
959,05103	45
959,5863	43
960,12164	25
960,65698	37
961,19238	17
961,72778	26
962,26324	33
962,79865	22
963,33417	24
963,86963	26
964,40515	22
964,94073	33
965,47632	40
966,0119	14
966,54749	15
967,08313	24
967,61884	28
968,15454	4
968,69025	14
969,22601	24
969,76178	19
970,29755	35
970,83337	27
971,3692	19
971,90509	37
972,44098	27
972,97687	25
973,51282	8
974,04877	18
974,58478	13
975,12079	41
975,6568	39
976,19287	17
976,72894	20
977,26508	18
977,80121	11
978,33734	15
978,87354	14
979,40973	27
979,94598	35
980,48224	24
981,01849	12
981,55481	20
982,09113	-3
982,6275	16
983,16388	18
983,70026	19
984,23669	7
984,77313	16
985,30963	29
985,84613	26
986,38263	3
986,91919	29
987,45575	28
987,99237	18
988,52899	35
989,06561	19
989,60229	16
990,13898	21
990,67572	33
991,21246	33
991,74921	22
992,28601	23
992,82281	7
993,35968	34
993,89655	17
994,43341	16
994,97034	36
995,50726	25
996,04419	31
996,58118	25
997,11823	20
997,65527	24
998,19232	16
998,72937	27
999,26648	23
999,80365	37
1000,3408	21
1000,878	26
1001,4152	16
1001,9524	20
1002,4896	7
1003,0269	26
1003,5642	18
1004,1016	25
1004,6389	23
1005,1763	28
1005,7137	24
1006,2511	19
1006,7886	32
1007,326	27
1007,8635	12
1008,4011	34
1008,9386	11
1009,4761	19
1010,0137	18
1010,5514	37
1011,0891	30
1011,6267	12
1012,1644	17
1012,7021	27
1013,2399	24
1013,7776	17
1014,3154	35
1014,8532	39
1015,3911	29
1015,9289	25
1016,4668	39
1017,0047	48
1017,5427	20
1018,0806	23
1018,6186	31
1019,1566	38
1019,6946	21
1020,2327	42
1020,7708	14
1021,3089	30
1021,847	7
1022,3851	28
1022,9233	16
1023,4615	7
1023,9998	11
1024,538	29
1025,0763	19
1025,6146	31
1026,153	40
1026,6913	16
1027,2296	25
1027,7681	32
1028,3065	38
1028,8448	38
1029,3834	48
1029,9219	45
1030,4604	37
1030,9989	37
1031,5375	13
1032,076	37
1032,6147	35
1033,1533	7
1033,692	46
1034,2307	26
1034,7694	29
1035,3082	19
1035,8469	49
